facility_id,facility_name,mort_ami,comp_hip_knee,readmission_hf,spending,count_of_safety_measures_better,count_of_readm_measures_worse,hospital_overall_rating
10006,NORTH ALABAMA MEDICAL CENTER,16.6,4.0,-4.9,1.02,3.0,2.0,0
10011,ST. VINCENT'S EAST,12.8,3.8,30.0,1.02,1.0,1.0,1
10019,HELEN KELLER HOSPITAL,12.2,4.7,10.5,1.11,1.0,0.0,0
10035,CULLMAN REGIONAL MEDICAL CENTER,12.1,3.7,-13.3,0.97,1.0,0.0,1
10040,GADSDEN REGIONAL MEDICAL CENTER,12.0,3.9,15.9,1.05,1.0,0.0,0
10104,GRANDVIEW MEDICAL CENTER,13.1,3.9,21.8,1.02,1.0,2.0,0
10131,CRESTWOOD MEDICAL CENTER,11.9,3.7,36.6,0.97,1.0,1.0,1
20001,PROVIDENCE ALASKA MEDICAL CENTER,11.1,4.0,0.2,0.95,2.0,0.0,1
20012,FAIRBANKS MEMORIAL HOSPITAL,12.8,2.8,-41.0,0.83,1.0,0.0,0
20017,ALASKA REGIONAL HOSPITAL,13.5,2.8,35.2,0.88,2.0,3.0,0
20026,ALASKA NATIVE MEDICAL CENTER,11.8,3.4,24.8,0.96,1.0,0.0,1
30011,ST JOSEPH'S HOSPITAL,11.8,3.5,10.9,1.05,2.0,0.0,0
30043,CANYON VISTA MEDICAL CENTER,12.1,3.6,24.1,1.03,0.0,1.0,0
30085,NORTHWEST MEDICAL CENTER,13.9,3.3,3.1,1.05,2.0,0.0,0
30087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,12.8,2.8,-6.6,0.98,2.0,1.0,1
30094,ABRAZO ARROWHEAD HOSPITAL,13.2,3.3,14.5,1.01,4.0,1.0,0
30114,ORO VALLEY HOSPITAL,14.3,3.9,0.2,0.95,1.0,0.0,1
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",12.7,4.0,1.7,0.93,1.0,1.0,0
40014,WHITE COUNTY MEDICAL CENTER,14.1,2.6,-2.3,1.04,0.0,3.0,1
40016,UAMS MEDICAL CENTER,13.4,3.2,22.9,0.99,1.0,3.0,0
40026,ST VINCENT HOT SPRINGS,13.9,3.1,4.4,1.12,4.0,0.0,1
40029,"CONWAY REGIONAL MEDICAL CENTER, INC",12.2,2.8,-8.1,1.04,1.0,2.0,1
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,13.2,3.2,10.9,1.04,3.0,1.0,0
40041,ST MARYS REGIONAL MEDICAL CENTER,12.2,2.9,2.3,1.01,0.0,0.0,0
40078,NATIONAL PARK MEDICAL CENTER,13.8,3.9,8.7,1.21,1.0,2.0,0
40088,SOUTH ARKANSAS REGIONAL HOSPITAL LLC,15.2,3.9,-19.6,1.08,0.0,0.0,1
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,13.0,4.0,25.2,1.07,3.0,2.0,0
40118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",15.5,5.6,20.1,1.01,2.0,1.0,1
50006,PROVIDENCE ST JOSEPH HOSPITAL,12.2,3.1,-6.1,0.95,4.0,1.0,1
50007,PENINSULA MEDICAL CENTER,11.4,2.9,-11.5,0.98,2.0,0.0,1
50013,ADVENTIST HEALTH ST HELENA,11.0,3.4,-2.4,1.09,0.0,0.0,1
50026,GROSSMONT HOSPITAL,13.9,2.7,-3.6,1.04,3.0,1.0,1
50030,OROVILLE HOSPITAL,12.9,4.0,59.9,0.89,0.0,5.0,0
50036,BAKERSFIELD MEMORIAL HOSPITAL,14.8,3.4,4.3,1.06,1.0,2.0,0
50039,ENLOE HEALTH,13.5,3.0,2.8,0.97,2.0,3.0,0
