facility_id,facility_name,mort_ami,comp_hip_knee,readmission_hf,spending,count_of_safety_measures_better,count_of_readm_measures_worse,hospital_overall_rating
10011,ST. VINCENT'S EAST,12.8,3.8,30.0,1.02,1.0,1.0,3.0
10035,CULLMAN REGIONAL MEDICAL CENTER,12.1,3.7,-13.3,0.97,1.0,0.0,3.0
10104,GRANDVIEW MEDICAL CENTER,13.1,3.9,21.8,1.02,1.0,2.0,2.0
20017,ALASKA REGIONAL HOSPITAL,13.5,2.8,35.2,0.88,2.0,3.0,2.0
20026,ALASKA NATIVE MEDICAL CENTER,11.8,3.4,24.8,0.96,1.0,0.0,3.0
30043,CANYON VISTA MEDICAL CENTER,12.1,3.6,24.1,1.03,0.0,1.0,2.0
30085,NORTHWEST MEDICAL CENTER,13.9,3.3,3.1,1.05,2.0,0.0,2.0
30087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,12.8,2.8,-6.6,0.98,2.0,1.0,3.0
30114,ORO VALLEY HOSPITAL,14.3,3.9,0.2,0.95,1.0,0.0,3.0
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",12.7,4.0,1.7,0.93,1.0,1.0,2.0
40014,WHITE COUNTY MEDICAL CENTER,14.1,2.6,-2.3,1.04,0.0,3.0,3.0
40026,ST VINCENT HOT SPRINGS,13.9,3.1,4.4,1.12,4.0,0.0,4.0
40029,"CONWAY REGIONAL MEDICAL CENTER, INC",12.2,2.8,-8.1,1.04,1.0,2.0,3.0
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,13.2,3.2,10.9,1.04,3.0,1.0,1.0
40078,NATIONAL PARK MEDICAL CENTER,13.8,3.9,8.7,1.21,1.0,2.0,1.0
50006,PROVIDENCE ST JOSEPH HOSPITAL,12.2,3.1,-6.1,0.95,4.0,1.0,4.0
50026,GROSSMONT HOSPITAL,13.9,2.7,-3.6,1.04,3.0,1.0,4.0
50036,BAKERSFIELD MEMORIAL HOSPITAL,14.8,3.4,4.3,1.06,1.0,2.0,2.0
50043,ALTA BATES SUMMIT MEDICAL CENTER,10.5,3.7,-25.2,1.01,2.0,1.0,4.0
50057,KAWEAH HEALTH MEDICAL CENTER,15.8,2.9,2.7,1.02,1.0,1.0,2.0
50077,SCRIPPS MERCY HOSPITAL,13.2,3.6,-28.9,1.02,2.0,1.0,3.0
50093,SAINT AGNES MEDICAL CENTER,14.3,3.1,23.5,0.99,1.0,2.0,1.0
50121,ADVENTIST HEALTH HANFORD,14.9,3.4,9.0,0.98,1.0,1.0,1.0
50126,VALLEY PRESBYTERIAN HOSPITAL,11.8,3.2,16.1,1.16,1.0,2.0,3.0
50128,TRI-CITY MEDICAL CENTER,12.5,4.2,-4.0,1.03,0.0,0.0,3.0
50169,PIH HEALTH HOSPITAL-WHITTIER,12.8,3.5,2.6,1.01,1.0,1.0,4.0
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,13.5,2.8,-9.0,0.98,2.0,1.0,3.0
50222,SHARP CHULA VISTA MEDICAL CENTER,12.4,4.2,5.6,0.96,1.0,3.0,4.0
50291,SUTTER SANTA ROSA REGIONAL HOSPITAL,11.0,2.5,1.2,0.94,2.0,1.0,5.0
50300,PROVIDENCE ST MARY MEDICAL CENTER,12.2,4.0,39.8,0.97,2.0,2.0,1.0
